15,962,MA000059,1253,20.2(c)(ii),NULL,"Leading hand allowance, supervising—10 or more employees",0,2.3000,Percent,BR91551,24.5700,per week,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:23:21.0000000,2025,2026-05-18 02:03:58.1766667,2026-05-18 02:03:58.1766667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,961,MA000059,1252,20.2(c)(i),NULL,"Leading hand allowance, supervising—3 to 9 employees",0,1.6000,Percent,BR91551,17.0900,per week,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:23:21.0000000,2025,2026-05-18 02:03:58.2333333,2026-05-18 02:03:58.2333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,969,MA000060,1256,18.3(a),NULL,First aid allowance,0,2.0000,Percent,BR91556,21.3700,per week,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:33:29.0000000,2025,2026-05-18 02:03:58.2600000,2026-05-18 02:03:58.2600000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,12063,MA000060,1257,18.4,NULL,"Leading hand allowance, in charge of—11 to 20 employees",0,5.6000,Percent,BR91556,59.8300,per week,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:33:29.0000000,2025,2026-05-18 02:03:58.3233333,2026-05-18 02:03:58.3233333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,971,MA000060,1257,18.4,NULL,"Leading hand allowance, in charge of—3 to 10 employees",0,4.4000,Percent,BR91556,47.0100,per week,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:33:29.0000000,2025,2026-05-18 02:03:58.3800000,2026-05-18 02:03:58.3800000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,12064,MA000060,1257,18.4,NULL,"Leading hand allowance, in charge of—more than 20 employees",0,7.5000,Percent,BR91556,80.1300,per week,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:33:29.0000000,2025,2026-05-18 02:03:58.4366667,2026-05-18 02:03:58.4366667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,975,MA000060,1261,21.1(a),NULL,Penalty—Afternoon shift or rotating night shift—Monday to Friday,0,15.0000,Percent,BR91556,4.2200,per hour,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:33:29.0000000,2025,2026-05-18 02:03:58.5000000,2026-05-18 02:03:58.5000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,976,MA000060,1262,21.1(b),NULL,Penalty—Permanent night shift—Monday to Friday,0,30.0000,Percent,BR91556,8.4400,per hour,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:33:29.0000000,2025,2026-05-18 02:03:58.5466667,2026-05-18 02:03:58.5466667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,974,MA000060,1260,18.2(b),NULL,Work conditions and disability allowance,1,4.5000,Percent,BR91556,48.0800,per week,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:33:29.0000000,2025,2026-05-18 02:03:58.6033333,2026-05-18 02:03:58.6033333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,5644,MA000061,9316,17.3(a),NULL,Availability duty,0,26.0000,Percent,BR91564,277.7800,per week or part thereof,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:27:19.0000000,2025,2026-05-18 02:03:58.6566667,2026-05-18 02:03:58.6566667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
